order_id,order_date,region,product,category,quantity,unit_price,customer_id
1001,2024-01-05,North,Wireless Mouse,Accessories,3,25.50,C001
1002,2024-01-06,South,Mechanical Keyboard,Accessories,2,80.00,C002
1003,2024-01-06,North,USB-C Hub,Accessories,1,45.00,C001
1004,2024-02-01,West,27" Monitor,Electronics,1,220.00,C003
1005,2024-02-10,North,Laptop Stand,Accessories,4,30.00,C004
1006,2024-03-02,South,Gaming Laptop,Electronics,1,1500.00,C005
1007,2024-03-15,West,Noise Cancelling Headphones,Electronics,2,199.99,C002
1008,2024-03-20,North,Webcam,Accessories,5,60.00,C001
1009,2024-04-05,EMEA,Wireless Mouse,Accessories,10,24.00,C006
1010,2024-04-10,EMEA,Mechanical Keyboard,Accessories,5,75.00,C006
